id,mesto,payroll_F,payroll_L,payroll_ZF,payroll_total,allcsv_F,allcsv_L,allcsv_ZF,allcsv_fte,allcsv_fte_n,diff_F,diff_L,diff_ZF,diff_total
524,"Nové Mesto nV, Nika",0.0,1.62,0.83,2.45,0.09,1.42,0.85,2.37,0.42,-0.09,0.2,-0.02,0.09
551,"Košice, autobus.stanica",0.69,1.64,0.77,3.1,0.78,1.67,0.78,3.23,0.92,-0.1,-0.02,-0.01,-0.13
552,Moldava nad Bodvou,0.67,0.86,0.85,2.38,0.85,0.88,0.86,2.58,0.23,-0.18,-0.01,-0.01,-0.2
553,Ban. Štiavnica,0.44,0.85,0.62,1.9,0.46,0.93,0.62,2.01,0.24,-0.02,-0.08,-0.01,-0.1
554,Sečovce,1.65,0.0,0.09,1.73,1.88,0.05,0.1,2.03,0.2,-0.23,-0.05,-0.02,-0.29
555,Prievidza,0.86,0.79,0.86,2.51,0.8,0.8,0.86,2.46,0.34,0.06,-0.01,0.0,0.06
556,Lipany,0.82,0.0,0.62,1.43,0.83,0.18,0.62,1.63,0.46,-0.01,-0.18,-0.0,-0.19
558,Kolárovo,0.0,0.9,0.78,1.68,0.14,0.96,0.81,1.91,0.25,-0.14,-0.06,-0.03,-0.23
561,,0.0,0.41,0.46,0.87,,,,,,,,,
562,"Nitra, Pri Nemocnici",0.39,0.73,0.79,1.9,0.33,0.81,0.82,1.96,0.29,0.06,-0.08,-0.04,-0.06
563,,0.0,0.0,0.09,0.09,,,,,,,,,
565,"Stará Turá, Pri Tržnici",0.83,0.89,0.84,2.57,0.75,0.91,0.85,2.51,0.37,0.08,-0.01,-0.01,0.06
602,"Žilina, Max",1.85,2.5,0.85,5.19,1.82,2.43,0.78,5.02,0.77,0.03,0.07,0.07,0.17
603,"Bratislava, Heydukova",0.86,1.72,0.84,3.42,0.87,1.74,0.86,3.46,0.46,-0.01,-0.02,-0.01,-0.04
604,,0.89,0.0,0.86,1.75,,,,,,,,,
605,"Bratislava, Šustekova",4.95,4.17,0.75,9.87,4.77,4.2,0.76,9.73,1.64,0.18,-0.03,-0.01,0.14
606,,0.0,0.0,0.0,0.0,,,,,,,,,
608,"Poprad, Máj",0.86,0.76,0.83,2.45,0.79,0.78,0.8,2.38,0.4,0.07,-0.02,0.02,0.07
609,"Košice, Optima",1.27,1.67,0.83,3.77,1.36,1.79,0.87,4.03,0.99,-0.1,-0.13,-0.04,-0.26
610,"Martin, pred nem.",1.34,0.69,0.47,2.5,1.33,0.72,0.06,2.11,0.69,0.0,-0.03,0.41,0.39
611,Krompachy,0.75,0.84,0.92,2.52,0.76,0.85,0.93,2.55,0.4,-0.01,-0.01,-0.01,-0.03
612,"Galanta, centrum",0.0,0.87,0.78,1.65,0.08,0.96,0.89,1.93,0.25,-0.08,-0.09,-0.11,-0.29
613,"Spiš.N.Ves, Hornád",0.57,0.0,0.81,1.38,0.03,0.06,1.37,1.47,0.21,0.55,-0.06,-0.57,-0.09
614,"Ban. Bystrica, Simba",0.77,1.68,0.84,3.29,0.77,1.69,0.82,3.27,1.19,-0.0,-0.0,0.02,0.01
615,"Šamorín, Centro",0.0,0.84,0.77,1.61,0.11,0.96,0.84,1.91,0.28,-0.11,-0.12,-0.07,-0.29
616,"Martin, Tulip",1.7,2.13,0.66,4.49,1.73,2.16,0.69,4.57,1.22,-0.03,-0.03,-0.03,-0.09
617,"Trnava, Max",1.62,2.4,0.87,4.89,1.48,2.41,0.88,4.77,0.95,0.14,-0.02,-0.0,0.12
618,"Ban. Bystrica, Kaufland (DZ)",2.18,3.44,0.83,6.45,2.26,3.58,0.93,6.78,1.03,-0.08,-0.15,-0.09,-0.32
619,Snina (DZ),1.0,0.79,0.69,2.48,0.98,0.79,0.67,2.43,0.36,0.02,0.0,0.03,0.06
620,Nové Zámky (DZ),1.71,1.62,0.62,3.95,0.93,1.53,0.61,3.07,0.78,0.78,0.09,0.01,0.88
621,Ban. Štiavnica (DZ),0.83,0.83,0.66,2.31,0.93,0.84,0.62,2.39,0.44,-0.1,-0.01,0.04,-0.07
624,"Bratislava, Ametyst",1.34,1.57,0.58,3.49,1.32,1.63,0.62,3.56,0.57,0.01,-0.06,-0.03,-0.07
626,"Skalica, TESCO",0.0,2.49,0.89,3.38,0.94,2.52,1.0,4.45,0.47,-0.94,-0.03,-0.11,-1.08
627,"Trenčín, Laugaricio",0.91,2.37,0.78,4.07,1.1,2.4,0.86,4.36,0.71,-0.19,-0.03,-0.07,-0.29
628,Prievidza (DZ),0.86,0.5,0.83,2.19,0.75,0.78,0.84,2.36,0.3,0.11,-0.28,-0.0,-0.18
